species_model,perf_met,factor_lev,letters
Ammonium-N_DL,test_rmse,False,a
Ammonium-N_DL,test_rmse,True,b
Ammonium-N_PLS,test_rmse,False,a
Ammonium-N_PLS,test_rmse,True,a
Ammonium-N_RF-PCA,test_rmse,False,a
Ammonium-N_RF-PCA,test_rmse,True,a
Ammonium-N_XGB-PCA,test_rmse,False,a
Ammonium-N_XGB-PCA,test_rmse,True,a
Boron_DL,test_rmse,False,a
Boron_DL,test_rmse,True,b
Boron_PLS,test_rmse,False,a
Boron_PLS,test_rmse,True,a
Boron_RF-PCA,test_rmse,False,a
Boron_RF-PCA,test_rmse,True,a
Boron_XGB-PCA,test_rmse,False,a
Boron_XGB-PCA,test_rmse,True,a
Calcium_DL,test_rmse,False,a
Calcium_DL,test_rmse,True,b
Calcium_PLS,test_rmse,False,a
Calcium_PLS,test_rmse,True,b
Calcium_RF-PCA,test_rmse,False,a
Calcium_RF-PCA,test_rmse,True,b
Calcium_XGB-PCA,test_rmse,False,a
Calcium_XGB-PCA,test_rmse,True,b
Copper_DL,test_rmse,False,a
Copper_DL,test_rmse,True,b
Copper_PLS,test_rmse,False,a
Copper_PLS,test_rmse,True,b
Copper_RF-PCA,test_rmse,False,a
Copper_RF-PCA,test_rmse,True,a
Copper_XGB-PCA,test_rmse,False,a
Copper_XGB-PCA,test_rmse,True,a
Iron_DL,test_rmse,False,a
Iron_DL,test_rmse,True,b
Iron_PLS,test_rmse,False,a
Iron_PLS,test_rmse,True,b
Iron_RF-PCA,test_rmse,False,a
Iron_RF-PCA,test_rmse,True,a
Iron_XGB-PCA,test_rmse,False,a
Iron_XGB-PCA,test_rmse,True,b
Magnesium_DL,test_rmse,False,a
Magnesium_DL,test_rmse,True,b
Magnesium_PLS,test_rmse,False,a
Magnesium_PLS,test_rmse,True,b
Magnesium_RF-PCA,test_rmse,False,a
Magnesium_RF-PCA,test_rmse,True,b
Magnesium_XGB-PCA,test_rmse,False,a
Magnesium_XGB-PCA,test_rmse,True,b
Manganese_DL,test_rmse,False,a
Manganese_DL,test_rmse,True,b
Manganese_PLS,test_rmse,False,a
Manganese_PLS,test_rmse,True,b
Manganese_RF-PCA,test_rmse,False,a
Manganese_RF-PCA,test_rmse,True,b
Manganese_XGB-PCA,test_rmse,False,a
Manganese_XGB-PCA,test_rmse,True,b
Molybdenum_DL,test_rmse,False,a
Molybdenum_DL,test_rmse,True,b
Molybdenum_PLS,test_rmse,False,a
Molybdenum_PLS,test_rmse,True,b
Molybdenum_RF-PCA,test_rmse,False,a
Molybdenum_RF-PCA,test_rmse,True,b
Molybdenum_XGB-PCA,test_rmse,False,a
Molybdenum_XGB-PCA,test_rmse,True,b
Nitrate-N_DL,test_rmse,False,a
Nitrate-N_DL,test_rmse,True,b
Nitrate-N_PLS,test_rmse,False,a
Nitrate-N_PLS,test_rmse,True,a
Nitrate-N_RF-PCA,test_rmse,False,a
Nitrate-N_RF-PCA,test_rmse,True,a
Nitrate-N_XGB-PCA,test_rmse,False,a
Nitrate-N_XGB-PCA,test_rmse,True,a
Phosphorus_DL,test_rmse,False,a
Phosphorus_DL,test_rmse,True,a
Phosphorus_PLS,test_rmse,False,a
Phosphorus_PLS,test_rmse,True,b
Phosphorus_RF-PCA,test_rmse,False,a
Phosphorus_RF-PCA,test_rmse,True,a
Phosphorus_XGB-PCA,test_rmse,False,a
Phosphorus_XGB-PCA,test_rmse,True,a
Potassium_DL,test_rmse,False,a
Potassium_DL,test_rmse,True,b
Potassium_PLS,test_rmse,False,a
Potassium_PLS,test_rmse,True,b
Potassium_RF-PCA,test_rmse,False,a
Potassium_RF-PCA,test_rmse,True,b
Potassium_XGB-PCA,test_rmse,False,a
Potassium_XGB-PCA,test_rmse,True,b
Sulfate_DL,test_rmse,False,a
Sulfate_DL,test_rmse,True,b
Sulfate_PLS,test_rmse,False,a
Sulfate_PLS,test_rmse,True,b
Sulfate_RF-PCA,test_rmse,False,a
Sulfate_RF-PCA,test_rmse,True,b
Sulfate_XGB-PCA,test_rmse,False,a
Sulfate_XGB-PCA,test_rmse,True,b
Zinc_DL,test_rmse,False,a
Zinc_DL,test_rmse,True,b
Zinc_PLS,test_rmse,False,a
Zinc_PLS,test_rmse,True,a
Zinc_RF-PCA,test_rmse,False,a
Zinc_RF-PCA,test_rmse,True,b
Zinc_XGB-PCA,test_rmse,False,a
Zinc_XGB-PCA,test_rmse,True,a
pH_DL,test_rmse,False,a
pH_DL,test_rmse,True,b
pH_PLS,test_rmse,False,a
pH_PLS,test_rmse,True,b
pH_RF-PCA,test_rmse,False,a
pH_RF-PCA,test_rmse,True,b
pH_XGB-PCA,test_rmse,False,a
pH_XGB-PCA,test_rmse,True,b
Ammonium-N_DL,test_rsq,False,a
Ammonium-N_DL,test_rsq,True,b
Ammonium-N_PLS,test_rsq,False,a
Ammonium-N_PLS,test_rsq,True,b
Ammonium-N_RF-PCA,test_rsq,False,a
Ammonium-N_RF-PCA,test_rsq,True,a
Ammonium-N_XGB-PCA,test_rsq,False,a
Ammonium-N_XGB-PCA,test_rsq,True,a
Boron_DL,test_rsq,False,a
Boron_DL,test_rsq,True,b
Boron_PLS,test_rsq,False,a
Boron_PLS,test_rsq,True,b
Boron_RF-PCA,test_rsq,False,a
Boron_RF-PCA,test_rsq,True,a
Boron_XGB-PCA,test_rsq,False,a
Boron_XGB-PCA,test_rsq,True,a
Calcium_DL,test_rsq,False,a
Calcium_DL,test_rsq,True,b
Calcium_PLS,test_rsq,False,a
Calcium_PLS,test_rsq,True,b
Calcium_RF-PCA,test_rsq,False,a
Calcium_RF-PCA,test_rsq,True,b
Calcium_XGB-PCA,test_rsq,False,a
Calcium_XGB-PCA,test_rsq,True,b
Copper_DL,test_rsq,False,a
Copper_DL,test_rsq,True,b
Copper_PLS,test_rsq,False,a
Copper_PLS,test_rsq,True,a
Copper_RF-PCA,test_rsq,False,a
Copper_RF-PCA,test_rsq,True,a
Copper_XGB-PCA,test_rsq,False,a
Copper_XGB-PCA,test_rsq,True,a
Iron_DL,test_rsq,False,a
Iron_DL,test_rsq,True,b
Iron_PLS,test_rsq,False,a
Iron_PLS,test_rsq,True,b
Iron_RF-PCA,test_rsq,False,a
Iron_RF-PCA,test_rsq,True,a
Iron_XGB-PCA,test_rsq,False,a
Iron_XGB-PCA,test_rsq,True,b
Magnesium_DL,test_rsq,False,a
Magnesium_DL,test_rsq,True,b
Magnesium_PLS,test_rsq,False,a
Magnesium_PLS,test_rsq,True,b
Magnesium_RF-PCA,test_rsq,False,a
Magnesium_RF-PCA,test_rsq,True,b
Magnesium_XGB-PCA,test_rsq,False,a
Magnesium_XGB-PCA,test_rsq,True,b
Manganese_DL,test_rsq,False,a
Manganese_DL,test_rsq,True,b
Manganese_PLS,test_rsq,False,a
Manganese_PLS,test_rsq,True,b
Manganese_RF-PCA,test_rsq,False,a
Manganese_RF-PCA,test_rsq,True,b
Manganese_XGB-PCA,test_rsq,False,a
Manganese_XGB-PCA,test_rsq,True,b
Molybdenum_DL,test_rsq,False,a
Molybdenum_DL,test_rsq,True,b
Molybdenum_PLS,test_rsq,False,a
Molybdenum_PLS,test_rsq,True,b
Molybdenum_RF-PCA,test_rsq,False,a
Molybdenum_RF-PCA,test_rsq,True,b
Molybdenum_XGB-PCA,test_rsq,False,a
Molybdenum_XGB-PCA,test_rsq,True,b
Nitrate-N_DL,test_rsq,False,a
Nitrate-N_DL,test_rsq,True,a
Nitrate-N_PLS,test_rsq,False,a
Nitrate-N_PLS,test_rsq,True,a
Nitrate-N_RF-PCA,test_rsq,False,a
Nitrate-N_RF-PCA,test_rsq,True,a
Nitrate-N_XGB-PCA,test_rsq,False,a
Nitrate-N_XGB-PCA,test_rsq,True,a
Phosphorus_DL,test_rsq,False,a
Phosphorus_DL,test_rsq,True,a
Phosphorus_PLS,test_rsq,False,a
Phosphorus_PLS,test_rsq,True,b
Phosphorus_RF-PCA,test_rsq,False,a
Phosphorus_RF-PCA,test_rsq,True,b
Phosphorus_XGB-PCA,test_rsq,False,a
Phosphorus_XGB-PCA,test_rsq,True,b
Potassium_DL,test_rsq,False,a
Potassium_DL,test_rsq,True,b
Potassium_PLS,test_rsq,False,a
Potassium_PLS,test_rsq,True,b
Potassium_RF-PCA,test_rsq,False,a
Potassium_RF-PCA,test_rsq,True,b
Potassium_XGB-PCA,test_rsq,False,a
Potassium_XGB-PCA,test_rsq,True,b
Sulfate_DL,test_rsq,False,a
Sulfate_DL,test_rsq,True,b
Sulfate_PLS,test_rsq,False,a
Sulfate_PLS,test_rsq,True,b
Sulfate_RF-PCA,test_rsq,False,a
Sulfate_RF-PCA,test_rsq,True,b
Sulfate_XGB-PCA,test_rsq,False,a
Sulfate_XGB-PCA,test_rsq,True,b
Zinc_DL,test_rsq,False,a
Zinc_DL,test_rsq,True,a
Zinc_PLS,test_rsq,False,a
Zinc_PLS,test_rsq,True,a
Zinc_RF-PCA,test_rsq,False,a
Zinc_RF-PCA,test_rsq,True,b
Zinc_XGB-PCA,test_rsq,False,a
Zinc_XGB-PCA,test_rsq,True,a
pH_DL,test_rsq,False,a
pH_DL,test_rsq,True,b
pH_PLS,test_rsq,False,a
pH_PLS,test_rsq,True,b
pH_RF-PCA,test_rsq,False,a
pH_RF-PCA,test_rsq,True,b
pH_XGB-PCA,test_rsq,False,a
pH_XGB-PCA,test_rsq,True,b
