Sample Type,HNS,HNS,Stream,Stream,HNS,HNS,Stream,Stream
Treatment,Diluted,Undiluted,Filtered,Unfiltered,Diluted,Undiluted,Filtered,Unfiltered
Statistic,mean,mean,mean,mean,SD,SD,SD,SD
count,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
mean,0.01623016778047903,0.08346958233080666,0.06182785665836812,0.06782985638745632,0.00747598207365906,0.013232575694549067,0.0508928877272741,0.05462264589876045
std,0.03440886247451043,0.10890490186637385,0.06563289764598412,0.0673948805414182,0.005696388571529647,0.009493302710385572,0.04188968125384373,0.039556699925443646
min,0.001741016894736842,0.00278192473015873,0.0020664270365296803,0.004115447717299579,0.0017333525653003804,0.0014971180118354085,0.002108791640693391,0.0020523543338169716
25%,0.0027489503815789473,0.004903421158730159,0.008880258775114155,0.013139759462025315,0.005103945936484675,0.0060545681236489676,0.015174978871959266,0.021300789790043934
50%,0.0032144325263157893,0.021694347484126984,0.03204297056392694,0.03863746813291139,0.005462616347205539,0.007048712113030929,0.03016278799800677,0.03465696970045658
75%,0.012021874070175438,0.12970639898412697,0.09583811993835617,0.1027931622721519,0.007146945356761594,0.019897195365888982,0.08695887485843043,0.09189455112521686
max,0.19078897914035087,0.4584775295396825,0.24559365233789957,0.2543348303544304,0.03210838522872747,0.036179010193033635,0.14689302920717304,0.14145460849127295
