sample_type,species,model,syn_aug,perf_met,value
stream,Ammonium-N,RF-PCA,False,test_rmse,0.1026702881967186
stream,Nitrate-N,DL,False,test_rmse,0.3361856642454943
stream,ON,PLS,False,test_rmse,0.2197699655498543
stream,OP,RF-PCA,False,test_rmse,0.026320942399421905
stream,Phosphate-P,RF-PCA,True,test_rmse,0.2307819318370342
stream,TKN,PLS,False,test_rmse,0.1982135865962092
stream,TN,DL,False,test_rmse,0.48493447618878804
stream,TP,RF-PCA,False,test_rmse,0.22452906828970956
HNSd30,Ammonium-N,RF-PCA,False,test_rmse,3.316214468299335
HNSd30,Boron,RF-PCA,False,test_rmse,0.08329463633159291
HNSd30,Calcium,RF-PCA,False,test_rmse,22.35917488929321
HNSd30,Copper,RF-PCA,False,test_rmse,0.1208414086760589
HNSd30,Iron,RF-PCA,False,test_rmse,0.37071672519439886
HNSd30,Magnesium,RF-PCA,False,test_rmse,7.648217931032702
HNSd30,Manganese,RF-PCA,False,test_rmse,0.18454385896581585
HNSd30,Molybdenum,RF-PCA,False,test_rmse,0.019735495281222905
HNSd30,Nitrate-N,RF-PCA,False,test_rmse,25.863521387658135
HNSd30,Phosphorus,RF-PCA,False,test_rmse,9.710027337402746
HNSd30,Potassium,RF-PCA,False,test_rmse,33.841323922926705
HNSd30,Sulfate,RF-PCA,False,test_rmse,31.345771026200758
HNSd30,Zinc,RF-PCA,False,test_rmse,0.12931985451976252
HNSd30,pH,RF-PCA,False,test_rmse,0.2804504967897615
HNS,Ammonium-N,DL,False,test_rmse,3.215305815088322
HNS,Boron,PLS,False,test_rmse,0.08116538533869817
HNS,Calcium,PLS,False,test_rmse,12.131572378309823
HNS,Copper,DL,False,test_rmse,0.09231754131451948
HNS,Iron,DL,False,test_rmse,0.14831648854098006
HNS,Magnesium,PLS,False,test_rmse,3.7073827086380575
HNS,Manganese,RF-PCA,False,test_rmse,0.20029847574101237
HNS,Molybdenum,XGB-PCA,False,test_rmse,0.016862043685610596
HNS,Nitrate-N,PLS,True,test_rmse,24.407358276189214
HNS,Phosphorus,RF-PCA,False,test_rmse,11.131891503786301
HNS,Potassium,PLS,False,test_rmse,27.628708200981855
HNS,Sulfate,PLS,False,test_rmse,16.181989521249285
HNS,Zinc,RF-PCA,False,test_rmse,0.19168734735255175
HNS,pH,RF-PCA,False,test_rmse,0.2618399560851219
stream,Ammonium-N,RF-PCA,False,test_rsq,-1.0121493407332216
stream,Nitrate-N,DL,False,test_rsq,-0.2134469617564297
stream,ON,PLS,False,test_rsq,0.08685799655655109
stream,OP,RF-PCA,False,test_rsq,-0.10079690293863845
stream,Phosphate-P,RF-PCA,True,test_rsq,-0.12811962859229592
stream,TKN,PLS,False,test_rsq,0.26619607090095243
stream,TN,DL,False,test_rsq,0.6991160924121699
stream,TP,RF-PCA,False,test_rsq,-0.10971293645561257
HNSd30,Ammonium-N,RF-PCA,False,test_rsq,-1.898638559745568
HNSd30,Boron,RF-PCA,True,test_rsq,-0.22271412879780614
HNSd30,Calcium,RF-PCA,False,test_rsq,0.01653572859574346
HNSd30,Copper,XGB-PCA,True,test_rsq,-0.25302830314999997
HNSd30,Iron,RF-PCA,False,test_rsq,0.10490037368841565
HNSd30,Magnesium,RF-PCA,False,test_rsq,0.08823746378870181
HNSd30,Manganese,RF-PCA,False,test_rsq,-0.17379116131046257
HNSd30,Molybdenum,RF-PCA,False,test_rsq,-0.0220224125771269
HNSd30,Nitrate-N,RF-PCA,False,test_rsq,-0.05023099516378513
HNSd30,Phosphorus,RF-PCA,False,test_rsq,-0.19267575525939182
HNSd30,Potassium,RF-PCA,False,test_rsq,-0.06175319034458393
HNSd30,Sulfate,RF-PCA,False,test_rsq,0.080133775540108
HNSd30,Zinc,RF-PCA,False,test_rsq,0.1495833242163749
HNSd30,pH,RF-PCA,False,test_rsq,-0.30440180177352766
HNS,Ammonium-N,DL,False,test_rsq,-0.019122826170983726
HNS,Boron,PLS,False,test_rsq,-0.022872115816144744
HNS,Calcium,PLS,False,test_rsq,0.6867340383074627
HNS,Copper,PLS,False,test_rsq,0.37833596685468057
HNS,Iron,DL,False,test_rsq,0.8168330656610244
HNS,Magnesium,PLS,False,test_rsq,0.7979483223724138
HNS,Manganese,RF-PCA,False,test_rsq,-0.20939390999225757
HNS,Molybdenum,XGB-PCA,False,test_rsq,0.18261781477786715
HNS,Nitrate-N,PLS,True,test_rsq,0.059567391396661784
HNS,Phosphorus,RF-PCA,False,test_rsq,-0.09756529887505053
HNS,Potassium,PLS,False,test_rsq,0.4456061345288016
HNS,Sulfate,PLS,False,test_rsq,0.7614353001404712
HNS,Zinc,RF-PCA,False,test_rsq,-0.17304649434064384
HNS,pH,RF-PCA,False,test_rsq,0.0740162819756476
