Name,Filtered,Date_col,Date_an,ARL_code,Notes
swbup,FALSE,2/22/2021,2/25/2021,1,
posnw16,TRUE,2/22/2021,2/25/2021,2,
hat,FALSE,2/22/2021,2/25/2021,3,
posnw16,FALSE,2/22/2021,2/25/2021,4,
tum441,FALSE,2/22/2021,2/25/2021,5,
tum441,TRUE,2/22/2021,2/25/2021,6,
swb,TRUE,2/22/2021,2/25/2021,7,
hogdn,FALSE,2/22/2021,2/25/2021,8,
hat,TRUE,2/22/2021,2/25/2021,9,
swb,FALSE,2/22/2021,2/25/2021,10,
hogup,FALSE,2/22/2021,2/25/2021,11,
hogdn,TRUE,2/22/2021,2/25/2021,12,
swbup,TRUE,2/22/2021,2/25/2021,13,
hogup,TRUE,2/22/2021,2/25/2021,14,
swbup,TRUE,11/5/2020,12/2/2020,15,
posnw16,FALSE,11/5/2020,12/2/2020,16,
swb,FALSE,11/5/2020,12/2/2020,17,
tum441,TRUE,11/5/2020,12/2/2020,18,
swbup,FALSE,11/5/2020,12/2/2020,19,
swb,TRUE,11/5/2020,12/2/2020,20,
posnw16,TRUE,11/5/2020,12/2/2020,21,
hogdn,TRUE,11/5/2020,12/2/2020,22,
tum441,FALSE,11/5/2020,12/2/2020,23,
hogdn,FALSE,11/5/2020,12/2/2020,24,
hat,TRUE,11/5/2020,12/2/2020,25,
hogup,FALSE,11/5/2020,12/2/2020,26,
hat,FALSE,11/5/2020,12/2/2020,27,
hogup,TRUE,11/5/2020,12/2/2020,28,
swbup,TRUE,11/5/2020,12/1/2020,29,
swb,TRUE,11/5/2020,12/1/2020,30,
posnw16,TRUE,11/5/2020,12/1/2020,31,
hogdn,TRUE,11/5/2020,12/1/2020,32,
swb,FALSE,11/5/2020,12/1/2020,33,
hat,FALSE,11/5/2020,12/1/2020,34,
tum441,TRUE,11/5/2020,12/1/2020,35,
hat,TRUE,11/5/2020,12/1/2020,36,
hogup,TRUE,11/5/2020,12/1/2020,37,
posnw16,FALSE,11/5/2020,12/1/2020,38,
swbup,FALSE,11/5/2020,12/1/2020,39,
tum441,FALSE,11/5/2020,12/1/2020,40,
hogdn,FALSE,11/5/2020,12/1/2020,41,
hogup,FALSE,11/5/2020,12/1/2020,42,
swb,FALSE,9/24/2020,,43,
posnw16,FALSE,9/10/2020,,44,
tum441,TRUE,9/24/2020,,45,
posnw16,FALSE,9/24/2020,,46,
swb,TRUE,9/24/2020,,47,
hat,TRUE,9/24/2020,,48,
hogdn,FALSE,9/10/2020,,49,
hat,FALSE,9/24/2020,,50,
swbup,TRUE,9/24/2020,,51,
hogup,FALSE,9/24/2020,,52,
posnw16,TRUE,9/24/2020,,53,
tum441,FALSE,9/24/2020,,54,
hogdn,TRUE,9/24/2020,,55,
hogup,TRUE,9/24/2020,,56,
hogdn,TRUE,9/10/2020,,57,
posnw16,TRUE,9/10/2020,,58,
hogdn,FALSE,9/24/2020,,59,
swbup,FALSE,9/24/2020,,60,
hat,TRUE,10/8/2020,,61,
swbup,FALSE,10/8/2020,,62,
hogdn,TRUE,10/8/2020,,63,
hogdn,FALSE,10/8/2020,,64,
swb,TRUE,10/8/2020,,65,
posnw16,FALSE,10/8/2020,,66,
hogup,TRUE,10/8/2020,,67,
hogup,FALSE,10/8/2020,,68,
hat,FALSE,10/8/2020,,69,
swbup,TRUE,10/8/2020,,70,
swb,FALSE,10/8/2020,,71,
tum441,FALSE,10/8/2020,,72,
posnw16,TRUE,10/8/2020,,73,
tum441,TRUE,10/8/2020,,74,
hogup,TRUE,10/22/2020,,75,
hat,FALSE,10/22/2020,,76,
hogdn,FALSE,10/22/2020,,77,
posnw16,FALSE,10/22/2020,,78,
hogdn,TRUE,10/22/2020,,79,
swb,FALSE,10/22/2020,,80,
swbup,TRUE,10/23/2020,,81,
tum441,TRUE,10/22/2020,,82,
hogup,FALSE,10/23/2020,,83,
swb,TRUE,10/22/2020,,84,
posnw16,TRUE,10/23/2020,,85,
hat,TRUE,10/22/2020,,86,
swbup,FALSE,10/23/2020,,87,
tum441,FALSE,10/22/2020,,88,
swb,TRUE,12/2/2020,,89,
swbup,TRUE,12/2/2020,,90,
hogup,TRUE,12/2/2020,,91,
tum441,TRUE,12/2/2020,,92,
hogdn,FALSE,12/2/2020,,93,
posnw16,TRUE,12/2/2020,,94,
hat,TRUE,12/2/2020,,95,
swb,FALSE,12/2/2020,,96,
posnw16,FALSE,12/2/2020,,97,
hat,FALSE,12/2/2020,,98,
hogup,FALSE,12/2/2020,,99,
swbup,FALSE,12/2/2020,,100,
tum441,FALSE,12/2/2020,,101,
swbup,FALSE,2/8/2021,,102,
hogdn,FALSE,2/8/2021,,103,
hat,FALSE,2/8/2021,,104,
swb,FALSE,2/8/2021,,105,
hogup,FALSE,2/8/2021,,106,
tum441,FALSE,2/8/2021,,107,
posnw16,FALSE,2/8/2021,,108,
swbup,TRUE,2/8/2021,,109,
hogdn,TRUE,2/8/2021,,110,
hat,TRUE,2/8/2021,,111,
swb,TRUE,2/8/2021,,112,
hogup,TRUE,2/8/2021,,113,
posnw16,TRUE,2/8/2021,,114,
tum441,TRUE,2/8/2021,,115,
swbup,TRUE,3/8/2021,,116,left in fridge before freezing
swb,TRUE,3/8/2021,,117,
hat,TRUE,3/8/2021,,118,
swbup,FALSE,3/8/2021,,119,
hogup,FALSE,3/8/2021,,120,
tum441,FALSE,3/8/2021,,121,
posnw16,TRUE,3/8/2021,,122,
hogdn,TRUE,3/8/2021,,123,
tum441,TRUE,3/8/2021,,124,
swb,FALSE,3/8/2021,,125,
hat,FALSE,3/8/2021,,126,
posnw16,FALSE,3/8/2021,,127,
hogup,TRUE,3/8/2021,,128,
hogdn,FALSE,3/8/2021,,129,
hogdn,TRUE,3/22/2021,,130,
swb,TRUE,3/22/2021,,131,
tum441,FALSE,3/22/2021,,132,
swbup,FALSE,3/22/2021,,133,
posnw16,TRUE,3/22/2021,,134,
swbup,TRUE,3/22/2021,,135,
hat,FALSE,3/22/2021,,136,
posnw16,FALSE,3/22/2021,,137,
tum441,TRUE,3/22/2021,,138,
hogup,TRUE,3/22/2021,,139,
hogup,FALSE,3/22/2021,,140,
hogdn,FALSE,3/22/2021,,141,
hat,TRUE,3/22/2021,,142,
swb,FALSE,3/22/2021,,143,
hat,TRUE,4/5/2021,,144,
hogdn,TRUE,4/5/2021,,145,
tum441,FALSE,4/5/2021,,146,
swbup,TRUE,4/5/2021,,147,
posnw16,FALSE,4/5/2021,,148,
swb,FALSE,4/5/2021,,149,
swbup,FALSE,4/5/2021,,150,
hogup,FALSE,4/5/2021,,151,
hogup,TRUE,4/5/2021,,152,
hat,FALSE,4/5/2021,,153,
hogdn,FALSE,4/5/2021,,154,
posnw16,TRUE,4/5/2021,,155,
swb,TRUE,4/5/2021,,156,
tum441,TRUE,4/5/2021,,157,
posnw16,FALSE,4/19/2021,,158,
hogdn,TRUE,4/19/2021,,159,
hogup,TRUE,4/19/2021,,160,
hat,FALSE,4/19/2021,,161,
swb,TRUE,4/19/2021,,162,
tum441,TRUE,4/19/2021,,163,
swbup,FALSE,4/19/2021,,164,
swbup,TRUE,4/19/2021,,165,
hogdn,FALSE,4/19/2021,,166,
hogup,FALSE,4/19/2021,,167,
tum441,FALSE,4/19/2021,,168,
hat,TRUE,4/19/2021,,169,
swb,FALSE,4/19/2021,,170,
posnw16,TRUE,4/19/2021,,171,
hogup,TRUE,5/4/2021,,172,
swb,FALSE,5/4/2021,,173,
hogdn,TRUE,5/4/2021,,174,
posnw16,FALSE,5/4/2021,,175,
hogdn,FALSE,5/4/2021,,176,
swb,TRUE,5/4/2021,,177,
tum441,TRUE,5/4/2021,,178,
hogup,FALSE,5/4/2021,,179,
swbup,TRUE,5/4/2021,,180,
posnw16,TRUE,5/4/2021,,181,
hat,TRUE,5/4/2021,,182,
tum441,FALSE,5/4/2021,,183,
hat,FALSE,5/4/2021,,184,
swbup,FALSE,5/4/2021,,185,
swbup,TRUE,5/17/2021,,186,
hogup,FALSE,5/17/2021,,187,
tum441,FALSE,5/17/2021,,188,
hogdn,FALSE,5/17/2021,,189,
hat,TRUE,5/17/2021,,190,
hogdn,TRUE,5/17/2021,,191,
hogup,TRUE,5/17/2021,,192,
posnw16,TRUE,5/17/2021,,193,
posnw16,FALSE,5/17/2021,,194,
swb,FALSE,5/17/2021,,195,
swb,TRUE,5/17/2021,,196,
hat,FALSE,5/17/2021,,197,
swbup,FALSE,5/17/2021,,198,
tum441,TRUE,5/17/2021,,199,
hogup,FALSE,6/1/2021,,200,
hogdn,FALSE,6/1/2021,,201,
swb,FALSE,6/1/2021,,202,
hogup,TRUE,6/1/2021,,203,
hat,TRUE,6/1/2021,,204,
swbup,TRUE,6/1/2021,,205,
tum441,FALSE,6/1/2021,,206,
swb,TRUE,6/1/2021,,207,
posnw16,FALSE,6/1/2021,,208,
hat,FALSE,6/1/2021,,209,
posnw16,TRUE,6/1/2021,,210,
hogdn,TRUE,6/1/2021,,211,
tum441,TRUE,6/1/2021,,212,
swbup,FALSE,6/1/2021,,213,
hogdn,TRUE,6/21/2021,,214,
swb,FALSE,6/21/2021,,215,
posnw16,TRUE,6/21/2021,,216,
tum441,TRUE,6/21/2021,,217,
hat,TRUE,6/21/2021,,218,
hogup,FALSE,6/21/2021,,219,
hat,FALSE,6/21/2021,,220,
hogdn,FALSE,6/21/2021,,221,
posnw16,FALSE,6/21/2021,,222,
swb,TRUE,6/21/2021,,223,
hogup,TRUE,6/21/2021,,224,
swbup,FALSE,6/21/2021,,225,
tum441,FALSE,6/21/2021,,226,
swbup,TRUE,6/21/2021,,227,
tum441,FALSE,7/6/2021,,228,
hogup,FALSE,7/6/2021,,229,
swbup,TRUE,7/6/2021,,230,
posnw16,TRUE,7/6/2021,,231,
swb,TRUE,7/6/2021,,232,
swb,FALSE,7/6/2021,,233,
swbup,FALSE,7/6/2021,,234,
hat,TRUE,7/6/2021,,235,
tum441,TRUE,7/6/2021,,236,
posnw16,FALSE,7/6/2021,,237,
hogup,TRUE,7/6/2021,,238,
hat,FALSE,7/6/2021,,239,
hogdn,FALSE,7/6/2021,,240,
hogdn,TRUE,7/6/2021,,241,
tum441,FALSE,7/20/2021,,242,
hat,FALSE,7/20/2021,,243,
tum441,TRUE,7/20/2021,,244,
swbup,TRUE,7/20/2021,,245,
swb,FALSE,7/20/2021,,246,
posnw16,FALSE,7/20/2021,,247,
hogup,FALSE,7/20/2021,,248,
swbup,FALSE,7/20/2021,,249,
hogdn,TRUE,7/20/2021,,250,
hogup,TRUE,7/20/2021,,251,
hogdn,FALSE,7/20/2021,,252,
posnw16,TRUE,7/20/2021,,253,
hat,TRUE,7/20/2021,,254,
swb,TRUE,7/20/2021,,255,
