ARL_code,Ammonium-N,Nitrate-N,Phosphate-P,TKN,TP,Name,ID
1.0,0.0,0.13,0.061579999999999996,0.34,0.11527,swbup,swbup2/22/2021
2.0,-0.02,0.32,0.53977,0.57,0.6290399999999999,posnw16,posnw162/22/2021
3.0,-0.03,-0.06,0.04082,0.7,0.08187,hat,hat2/22/2021
4.0,-0.03,0.16,0.51777,0.54,0.6549299999999999,posnw16,posnw162/22/2021
5.0,-0.03,0.08,0.08949,0.19,0.15153,tum441,tum4412/22/2021
6.0,-0.03,0.1,0.07112,0.59,0.10654000000000001,tum441,tum4412/22/2021
7.0,-0.03,1.75,0.0512,0.62,0.09470999999999999,swb,swb2/22/2021
8.0,-0.03,0.07,0.37345,1.27,0.83886,hogdn,hogdn2/22/2021
9.0,-0.05,-0.03,0.053149999999999996,1.01,0.0866,hat,hat2/22/2021
10.0,-0.05,2.08,0.07257,0.63,0.10825,swb,swb2/22/2021
11.0,-0.04,0.15,0.18715,0.66,0.287,hogup,hogup2/22/2021
12.0,-0.06,0.05,0.36624,0.85,0.45712,hogdn,hogdn2/22/2021
13.0,-0.04,0.13,0.06275,0.56,0.10482999999999999,swbup,swbup2/22/2021
14.0,-0.04,0.14,0.19012,0.76,0.25603,hogup,hogup2/22/2021
15.0,-0.05,0.08,0.06972,0.5,0.30544,swbup,swbup11/5/202012/2/2020
16.0,-0.06,0.44,0.71856,3.04,0.93675,posnw16,posnw1611/5/202012/2/2020
17.0,-0.03,4.79,0.25375,0.66,0.46474,swb,swb11/5/202012/2/2020
18.0,-0.06,0.08,0.11524,0.41,0.30573,tum441,tum44111/5/202012/2/2020
19.0,-0.06,0.08,0.054770000000000006,0.41,0.28873000000000004,swbup,swbup11/5/202012/2/2020
20.0,-0.04,5.02,0.25483,0.55,0.43139,swb,swb11/5/202012/2/2020
21.0,-0.01,0.59,0.6455700000000001,0.35,0.7380099999999999,posnw16,posnw1611/5/202012/2/2020
22.0,0.0,0.16,0.46861,0.3,0.51255,hogdn,hogdn11/5/202012/2/2020
23.0,-0.02,-0.04,0.10368000000000001,0.2,0.17153,tum441,tum44111/5/202012/2/2020
24.0,-0.03,0.09,0.42092,0.4,0.6081799999999999,hogdn,hogdn11/5/202012/2/2020
25.0,-0.01,-0.03,0.08782999999999999,0.59,0.13026,hat,hat11/5/202012/2/2020
26.0,-0.04,0.2,0.36819999999999997,0.27,0.43735,hogup,hogup11/5/202012/2/2020
27.0,-0.04,-0.03,0.08309,0.71,0.13763999999999998,hat,hat11/5/202012/2/2020
28.0,-0.03,0.23,0.34343,0.32,0.42218,hogup,hogup11/5/202012/2/2020
29.0,-0.02,2.31,0.05407,0.5,0.08927,swbup,swbup11/5/202012/1/2020
30.0,-0.03,0.12,0.07803,0.36,0.15347,swb,swb11/5/202012/1/2020
31.0,-0.04,0.6,0.72212,0.38,0.77311,posnw16,posnw1611/5/202012/1/2020
32.0,-0.02,0.15,0.48367,0.46,0.58348,hogdn,hogdn11/5/202012/1/2020
33.0,-0.04,0.08,0.0431,0.28,0.15242,swb,swb11/5/202012/1/2020
34.0,-0.05,-0.01,0.06523000000000001,4.36,0.11585,hat,hat11/5/202012/1/2020
35.0,-0.04,0.11,0.11117,0.21,0.16012,tum441,tum44111/5/202012/1/2020
36.0,-0.05,0.0,0.06898,0.8,0.10538,hat,hat11/5/202012/1/2020
37.0,-0.04,0.23,0.38339999999999996,0.3,0.44031,hogup,hogup11/5/202012/1/2020
38.0,-0.04,0.46,0.63067,0.17,0.75322,posnw16,posnw1611/5/202012/1/2020
39.0,-0.02,1.99,0.05863,0.49,0.12608,swbup,swbup11/5/202012/1/2020
40.0,0.04,0.15,0.11206999999999999,0.53,0.17344,tum441,tum44111/5/202012/1/2020
41.0,-0.07,0.01,0.43281000000000003,0.77,0.60138,hogdn,hogdn11/5/202012/1/2020
42.0,-0.08,0.09,0.34026999999999996,0.42,0.41464999999999996,hogup,hogup11/5/202012/1/2020
43.0,-0.1,1.5,0.09367,0.65,0.15403999999999998,swb,swb9/24/2020
44.0,-0.11,0.08,0.40320999999999996,0.65,0.49795,posnw16,posnw169/10/2020
45.0,-0.09,0.22,0.14079,0.3,0.21287999999999999,tum441,tum4419/24/2020
46.0,-0.12,0.47,0.65074,0.33,0.73376,posnw16,posnw169/24/2020
47.0,-0.1,1.64,0.10434,0.62,0.14732,swb,swb9/24/2020
48.0,-0.12,-0.02,0.06773,1.22,0.12822999999999998,hat,hat9/24/2020
49.0,-0.13,-0.01,0.29535,0.4,0.41664,hogdn,hogdn9/10/2020
50.0,-0.13,-0.05,0.06634000000000001,0.95,0.13222,hat,hat9/24/2020
51.0,-0.13,0.22,0.11929000000000001,0.34,0.17151,swbup,swbup9/24/2020
52.0,-0.12,0.19,0.21125,0.71,0.29414999999999997,hogup,hogup9/24/2020
53.0,-0.14,0.46,0.6715599999999999,0.39,0.71073,posnw16,posnw169/24/2020
54.0,-0.14,0.26,0.14381,0.48,0.18969,tum441,tum4419/24/2020
55.0,-0.14,0.15,0.42907,0.67,0.50834,hogdn,hogdn9/24/2020
56.0,-0.13,0.2,0.22296000000000002,0.96,0.28212,hogup,hogup9/24/2020
57.0,-0.14,0.04,0.30041,0.39,0.36156,hogdn,hogdn9/10/2020
58.0,-0.13,0.14,0.40176,0.73,0.45597000000000004,posnw16,posnw169/10/2020
59.0,-0.14,0.14,0.42932,0.66,0.51935,hogdn,hogdn9/24/2020
60.0,-0.15,0.25,0.11137000000000001,0.45,0.17276,swbup,swbup9/24/2020
61.0,0.02,-0.03,0.08029,1.17,0.16611,hat,hat10/8/2020
62.0,0.04,0.21,0.1596,0.63,0.20603,swbup,swbup10/8/2020
63.0,0.02,0.06,0.46794,0.63,0.56617,hogdn,hogdn10/8/2020
64.0,0.01,0.05,0.52679,0.59,0.63944,hogdn,hogdn10/8/2020
65.0,0.03,2.75,0.08156999999999999,0.77,0.13363,swb,swb10/8/2020
66.0,0.01,0.46,0.68913,0.39,0.7699,posnw16,posnw1610/8/2020
67.0,0.01,0.23,0.27438,0.64,0.3875,hogup,hogup10/8/2020
68.0,0.01,0.21,0.2926,0.71,0.42055000000000003,hogup,hogup10/8/2020
69.0,0.01,0.0,0.08582,1.12,0.15578999999999998,hat,hat10/8/2020
70.0,0.03,0.24,0.1692,0.56,0.20565,swbup,swbup10/8/2020
71.0,0.02,2.73,0.07139,0.69,0.14747,swb,swb10/8/2020
72.0,0.02,0.2,0.10008,0.56,0.21859,tum441,tum44110/8/2020
73.0,0.01,0.43,0.6904199999999999,0.48,0.7413,posnw16,posnw1610/8/2020
74.0,0.01,0.18,0.11203,0.46,0.2149,tum441,tum44110/8/2020
75.0,0.01,0.1,0.27718,0.46,0.32987,hogup,hogup10/22/2020
76.0,0.02,0.02,0.09988,0.89,0.18048,hat,hat10/22/2020
77.0,0.02,0.03,0.54192,0.54,0.63689,hogdn,hogdn10/22/2020
78.0,0.0,0.33,0.6708099999999999,0.61,0.76048,posnw16,posnw1610/22/2020
79.0,0.0,0.05,0.54935,0.44,0.6333,hogdn,hogdn10/22/2020
80.0,0.01,2.87,0.102,0.85,0.16309,swb,swb10/22/2020
81.0,0.02,0.03,0.11026000000000001,0.36,0.14029,swbup,swbup10/22/2020
82.0,0.01,-0.06,0.08954999999999999,0.34,0.11864,tum441,tum44110/22/2020
83.0,0.01,0.06,0.25249,0.45,0.32491000000000003,hogup,hogup10/22/2020
84.0,0.03,2.65,0.08984,0.64,0.11114,swb,swb10/22/2020
85.0,0.01,0.32,0.6765399999999999,0.41,0.68375,posnw16,posnw1610/22/2020
86.0,0.02,0.0,0.10184,0.87,0.13523,hat,hat10/22/2020
87.0,0.01,0.04,0.09681999999999999,0.38,0.1278,swbup,swbup10/22/2020
88.0,0.02,-0.02,0.11072,0.34,0.14321,tum441,tum44110/22/2020
89.0,0.04,5.77,0.07329000000000001,0.64,0.11026000000000001,swb,swb12/2/2020
90.0,0.02,0.21,0.15785,1.0,0.17246,swbup,swbup12/2/2020
91.0,0.02,0.22,0.34249,0.3,0.34066,hogup,hogup12/2/2020
92.0,0.01,0.01,0.05571,0.22,0.12298,tum441,tum44112/2/2020
93.0,0.01,0.16,0.40326999999999996,0.51,0.50866,hogdn,hogdn12/2/2020
94.0,0.02,0.59,0.70909,0.28,0.7180599999999999,posnw16,posnw1612/2/2020
95.0,0.02,0.01,0.07734999999999999,0.72,0.10173,hat,hat12/2/2020
96.0,0.02,5.74,0.08681,0.34,0.13829,swb,swb12/2/2020
97.0,0.02,0.62,0.6947300000000001,0.34,0.71437,posnw16,posnw1612/2/2020
98.0,0.02,0.04,0.05895,0.52,0.08643,hat,hat12/2/2020
99.0,0.02,0.19,0.30706,0.28,0.37097,hogup,hogup12/2/2020
100.0,0.02,0.18,0.14158,0.47,0.18502000000000002,swbup,swbup12/2/2020
101.0,0.01,-0.04,0.05647,0.32,0.11748,tum441,tum44112/2/2020
102.0,0.01,0.1,0.07063,0.49,0.08259,swbup,swbup2/8/2021
103.0,0.02,0.14,0.4059,0.5,0.40508,hogdn,hogdn2/8/2021
104.0,0.01,-0.05,0.07629999999999999,1.16,0.11609,hat,hat2/8/2021
105.0,0.04,1.23,0.0595,0.88,0.07085,swb,swb2/8/2021
106.0,0.01,0.09,0.1177,0.84,0.17374,hogup,hogup2/8/2021
107.0,0.03,0.05,0.07582,0.52,0.0896,tum441,tum4412/8/2021
108.0,0.01,-0.01,0.26267,0.54,0.27468,posnw16,posnw162/8/2021
109.0,0.02,0.12,0.07105,0.49,0.08093,swbup,swbup2/8/2021
110.0,0.02,0.17,0.36584,0.43,0.38444,hogdn,hogdn2/8/2021
111.0,0.02,-0.03,0.06315,0.83,0.08297,hat,hat2/8/2021
112.0,0.03,1.27,0.03864,0.87,0.06523000000000001,swb,swb2/8/2021
113.0,0.03,0.1,0.10954000000000001,0.77,0.12853,hogup,hogup2/8/2021
114.0,0.01,0.0,0.24417,0.44,0.2817,posnw16,posnw162/8/2021
115.0,0.01,0.06,0.05031,0.32,0.07847,tum441,tum4412/8/2021
116.0,0.01,0.19,0.05276,0.34,0.07814,swbup,swbup3/8/2021
117.0,0.04,1.95,0.07185,0.76,0.07726000000000001,swb,swb3/8/2021
118.0,0.01,0.02,0.036950000000000004,0.7,0.05712,hat,hat3/8/2021
119.0,0.01,0.16,0.02678,0.45,0.07069,swbup,swbup3/8/2021
120.0,0.02,0.15,0.19009,0.48,0.25213,hogup,hogup3/8/2021
121.0,0.01,0.15,0.07834999999999999,-0.11,0.12486,tum441,tum4413/8/2021
122.0,0.02,0.37,0.59085,-0.16,0.65846,posnw16,posnw163/8/2021
123.0,0.02,0.09,0.38031,-0.13,0.43202999999999997,hogdn,hogdn3/8/2021
124.0,0.02,0.15,0.09747,-0.19,0.12444,tum441,tum4413/8/2021
125.0,0.06,1.96,0.08212,0.0,0.14399,swb,swb3/8/2021
126.0,0.01,-0.03,0.038189999999999995,0.01,0.061840000000000006,hat,hat3/8/2021
127.0,0.01,0.41,0.53343,-0.18,0.6384299999999999,posnw16,posnw163/8/2021
128.0,0.03,0.15,0.18067,-0.15,0.24528999999999998,hogup,hogup3/8/2021
129.0,0.01,0.1,0.39177999999999996,-0.06,0.63179,hogdn,hogdn3/8/2021
130.0,0.04,0.2,0.48344,0.43,0.50128,hogdn,hogdn3/22/2021
131.0,0.03,2.77,0.05799,0.89,0.06631000000000001,swb,swb3/22/2021
132.0,0.04,0.19,0.15053,0.43,0.19106,tum441,tum4413/22/2021
133.0,0.03,0.15,0.039619999999999995,0.56,0.15528,swbup,swbup3/22/2021
134.0,0.03,0.54,0.72154,0.92,0.7853600000000001,posnw16,posnw163/22/2021
135.0,0.03,0.15,0.05119,0.48,0.08189,swbup,swbup3/22/2021
136.0,0.01,-0.01,0.07104,0.89,0.12676,hat,hat3/22/2021
137.0,0.01,0.52,0.69368,0.33,0.8050700000000001,posnw16,posnw163/22/2021
138.0,0.07,0.17,0.16336,0.01,0.19324000000000002,tum441,tum4413/22/2021
139.0,0.04,0.26,0.33558,0.46,0.40332,hogup,hogup3/22/2021
140.0,0.03,0.27,0.30195,0.5,0.42025,hogup,hogup3/22/2021
141.0,-0.01,0.19,0.43601999999999996,0.87,0.59662,hogdn,hogdn3/22/2021
142.0,-0.03,-0.05,0.0686,1.18,0.09475,hat,hat3/22/2021
143.0,0.0,2.74,0.04955,0.55,0.07983,swb,swb3/22/2021
144.0,-0.03,-0.01,0.08646,0.69,0.11573,hat,hat4/5/2021
145.0,0.0,0.1,0.44981,-0.03,0.5015299999999999,hogdn,hogdn4/5/2021
146.0,-0.01,0.14,0.11454,0.62,0.13996,tum441,tum4414/5/2021
147.0,0.01,0.09,0.06581000000000001,0.4,0.11832,swbup,swbup4/5/2021
148.0,0.0,0.53,0.67008,0.53,0.85157,posnw16,posnw164/5/2021
149.0,0.0,2.67,0.0482,0.51,0.07598,swb,swb4/5/2021
150.0,-0.02,0.13,0.06695000000000001,0.39,0.20396,swbup,swbup4/5/2021
151.0,-0.01,0.15,0.3285,0.45,0.35284,hogup,hogup4/5/2021
152.0,-0.02,0.21,0.2953,0.43,0.34314,hogup,hogup4/5/2021
153.0,-0.03,0.0,0.09312999999999999,0.74,0.13673,hat,hat4/5/2021
154.0,-0.01,0.17,0.43491,0.58,0.50194,hogdn,hogdn4/5/2021
155.0,-0.01,0.56,0.6755,0.26,0.7878,posnw16,posnw164/5/2021
156.0,0.01,3.15,0.04722,0.56,0.053939999999999995,swb,swb4/5/2021
157.0,-0.03,0.22,0.1027,0.39,0.11868000000000001,tum441,tum4414/5/2021
158.0,-0.03,0.19,0.45435000000000003,0.66,0.62702,posnw16,posnw164/19/2021
159.0,-0.03,0.04,0.34749,0.52,0.37907,hogdn,hogdn4/19/2021
160.0,-0.02,0.07,0.14617,0.67,0.15858,hogup,hogup4/19/2021
161.0,-0.03,-0.01,0.06491,1.31,0.11145999999999999,hat,hat4/19/2021
162.0,-0.01,2.23,0.08439,0.58,0.09844,swb,swb4/19/2021
163.0,-0.01,0.11,0.09725,0.36,0.10412,tum441,tum4414/19/2021
164.0,-0.03,0.01,0.06908,0.45,0.08621,swbup,swbup4/19/2021
165.0,-0.01,0.07,0.08433,0.48,0.10045,swbup,swbup4/19/2021
166.0,-0.02,0.01,0.32613,0.46,0.38888,hogdn,hogdn4/19/2021
167.0,-0.02,0.03,0.13051,0.65,0.22756,hogup,hogup4/19/2021
168.0,-0.01,0.12,0.09114,0.48,0.12325,tum441,tum4414/19/2021
169.0,-0.02,-0.01,0.05293,1.07,0.07571,hat,hat4/19/2021
170.0,0.04,2.42,0.0907,0.92,0.12188,swb,swb4/19/2021
171.0,0.01,0.19,0.41883,0.58,0.48471,posnw16,posnw164/19/2021
